CustomerID,CustomerName,Date of birth,Country
11400,GEORGE,06-03-1900,Asia
11401,BETH,06-03-1900,North America
11402,IAN,23-01-1900,Europe
11403,LATOYA,24-01-1900,Asia
11404,COLIN,25-02-1900,North America
11405,BRENDA,28-03-1900,Europe
11406,FRANKLIN,02-02-1900,Asia
11407,LINDA,14-02-1900,North America
11408,KELLI,22-01-1900,Europe
11409,NANCY,23-01-1900,Asia
11410,MEGAN,24-01-1900,North America
11411,BONNIE,13-02-1900,Europe
11412,LATOYA,24-02-1900,Asia
11413,MARIO,06-03-1900,North America
11414,DARREN,25-02-1900,Europe
11415,JACQUELINE,17-03-1900,Asia
11416,MAURICE,23-01-1900,North America
11417,DEVIN,17-03-1900,Europe
11418,SYDNEY,28-03-1900,Asia
11419,MEGAN,14-02-1900,North America
11420,IAN,06-03-1900,Europe
11421,RANDY,06-03-1900,Asia
11422,KATRINA,17-03-1900,North America
11423,LACEY,28-03-1900,Europe
11424,RAFAEL,14-02-1900,Asia
11425,KYLE,06-03-1900,North America
11426,JORDAN,06-03-1900,Europe
11427,AMY,23-01-1900,Asia
11428,DUSTIN,24-01-1900,North America
11429,JASMINE,25-02-1900,Europe
11430,PAMELA,28-03-1900,Asia
11431,ARIANA,02-02-1900,North America
11432,KRISTOPHER,14-02-1900,Europe
11433,DESIREE,22-01-1900,Asia
11434,DEANNA,23-01-1900,North America
11435,MARCO,24-01-1900,Europe
11436,CASEY,13-02-1900,Asia
11437,BRYANT,24-02-1900,North America
11438,DOMINIQUE,06-03-1900,Europe
11439,MAURICE,25-02-1900,Asia
11440,ANDRE,17-03-1900,North America
11441,ROBIN,23-01-1900,Europe
11442,TAYLOR,17-03-1900,Asia
11443,ALFREDO,28-03-1900,North America
11444,JENNY,14-02-1900,Europe
11445,JANET,06-03-1900,Asia
11446,SERGIO,06-03-1900,North America
11447,ERIKA,17-03-1900,Europe
11448,JOSEPH,28-03-1900,Asia
11449,GRACE,14-02-1900,North America
11450,TINA,06-03-1900,Europe
11451,KARI,06-03-1900,Asia
11452,BETHANY,23-01-1900,North America
11453,JENNIFER,24-01-1900,Europe
11454,KYLE,25-02-1900,Asia
11455,ALVIN,28-03-1900,North America
11456,BRETT,02-02-1900,Europe
11457,RUBEN,14-02-1900,Asia
11458,ERIKA,22-01-1900,North America
11459,STANLEY,23-01-1900,Europe
11460,MELINDA,24-01-1900,Asia
11461,ROSS,13-02-1900,North America
11462,JON,24-02-1900,Europe
11463,JAIME,06-03-1900,Asia
11464,BIANCA,25-02-1900,North America
11465,TASHA,17-03-1900,Europe
11466,MELVIN,23-01-1900,Asia
11467,VICTOR,17-03-1900,North America
11468,LAURA,28-03-1900,Europe
11469,ALISHA,14-02-1900,Asia
11470,ALEJANDRO,06-03-1900,North America
11471,LOUIS,06-03-1900,Europe
11472,GRANT,17-03-1900,Asia
11473,ARTURO,28-03-1900,North America
11474,JACLYN,14-02-1900,Europe
11475,EDWIN,06-03-1900,Asia
11476,JAY,06-03-1900,North America
11477,LATASHA,23-01-1900,Europe
11478,KENNETH,24-01-1900,Asia
11479,GRACE,25-02-1900,North America
11480,MELVIN,28-03-1900,Europe
11481,CESAR,02-02-1900,Asia
11482,ERIKA,14-02-1900,North America
11483,TRISTAN,22-01-1900,Europe
11484,BILLY,23-01-1900,Asia
11485,DARRYL,24-01-1900,North America
11486,COLLEEN,13-02-1900,Europe
11487,ERICA,24-02-1900,Asia
11488,ADRIENNE,06-03-1900,North America
11489,CALVIN,25-02-1900,Europe
11490,ERICK,17-03-1900,Asia
11491,DONALD,23-01-1900,India
11492,ARIANA,17-03-1900,India
11493,MORGAN,28-03-1900,India
11495,JERMAINE,14-02-1900,India
11496,DEBORAH,06-03-1900,India
11497,DANNY,06-03-1900,India
11499,ANDRE,17-03-1900,India
11500,TERRENCE,28-03-1900,India
11501,DAWN,14-02-1900,India
11502,FRANCIS,06-03-1900,India
11503,GARY,06-03-1900,India
11504,KATRINA,23-01-1900,India
11505,PEDRO,24-01-1900,India
11506,SARAH,25-02-1900,India
11507,BRANDY,28-03-1900,India
11508,JARED,02-02-1900,India
11509,DENNIS,14-02-1900,India
11510,JORDAN,22-01-1900,India
11511,JASMINE,23-01-1900,India
11512,NICHOLAS,24-01-1900,India
11513,ISABELLA,13-02-1900,India
11514,ELIZABETH,24-02-1900,India
11515,ROGER,06-03-1900,India
11516,SETH,25-02-1900,India
11517,CALEB,17-03-1900,India
11518,NATALIE,23-01-1900,India
11520,ALYSSA,17-03-1900,India
11521,DALTON,28-03-1900,India
11522,SHANNON,14-02-1900,India
11523,MYA,06-03-1900,India
11524,KATHERINE,06-03-1900,India
11525,EDWARD,17-03-1900,India
11526,JADA,28-03-1900,India
11527,ARIANA,14-02-1900,India
11528,CHRISTIAN,06-03-1900,India
11529,LUCAS,06-03-1900,India
11530,ALYSSA,23-01-1900,India
11531,ARIANA,24-01-1900,India
11532,KATHERINE,25-02-1900,India
11533,JENNA,28-03-1900,India
11534,JOAN,02-02-1900,India
11535,AUSTIN,14-02-1900,India
11536,ANDREW,22-01-1900,India
11537,NINA,23-01-1900,India
11538,LAUREN,24-01-1900,India
11539,EBONY,13-02-1900,India
11540,CAMERON,24-02-1900,India
11541,DEVIN,06-03-1900,India
11542,LOGAN,25-02-1900,India
11543,DAKOTA,17-03-1900,India
11544,NICOLE,23-01-1900,India
11545,JUSTIN,17-03-1900,India
11546,ALBERTO,28-03-1900,India
11547,AIDAN,14-02-1900,India
11549,ALEJANDRO,06-03-1900,India
11550,SHEENA,06-03-1900,India
11551,JOEL,17-03-1900,India
11552,REGINALD,28-03-1900,India
11553,CHRISTINE,14-02-1900,India
11554,CINDY,06-03-1900,India
11555,CRYSTAL,06-03-1900,India
11556,DEB,23-01-1900,India
11557,SHANNON,24-01-1900,India
11558,EDDIE,25-02-1900,India
11559,SHARON,28-03-1900,India
11560,SYDNEY,02-02-1900,India
11561,ALEXANDRIA,14-02-1900,India
11562,LUCAS,22-01-1900,India
11563,FELICIA,23-01-1900,India
11564,IVAN,24-01-1900,India
11565,FREDERICK,13-02-1900,India
11566,WHITNEY,24-02-1900,India
11567,BRIANA,06-03-1900,India
11568,JARROD,25-02-1900,India
11569,CESAR,17-03-1900,India
11570,JORGE,23-01-1900,India
11571,ERIK,17-03-1900,India
11572,APRIL,28-03-1900,India
11573,CARLA,14-02-1900,India
11574,ALEXIA,06-03-1900,India
11575,TROY,06-03-1900,India
11576,KRISTIN,17-03-1900,India
11577,JOEL,28-03-1900,India
11578,BILLY,14-02-1900,India
11579,MEAGAN,06-03-1900,India
11580,KARLA,06-03-1900,India
11581,JACKSON,23-01-1900,India
11582,MICAH,24-01-1900,India
11583,JANET,25-02-1900,India
11584,TRISHA,28-03-1900,India
11585,CLAYTON,02-02-1900,India
11586,MELVIN,14-02-1900,India
11587,CINDY,22-01-1900,India
11588,CLAUDIA,23-01-1900,India
11589,KARLA,24-01-1900,India
11590,DEVIN,13-02-1900,India
11591,KARI,24-02-1900,India
11592,ALBERTO,06-03-1900,India
11593,KEVIN,25-02-1900,India
11594,CANDACE,17-03-1900,India
11595,EBONY,23-01-1900,India
11596,ERIKA,17-03-1900,India
11597,STACEY,28-03-1900,India
11598,DARRELL,14-02-1900,India
11599,ARMANDO,06-03-1900,India
11600,COREY,06-03-1900,India
11601,SEBASTIAN,17-03-1900,India
11602,ROGER,28-03-1900,India
11603,JANELLE,14-02-1900,India
11604,MEREDITH,06-03-1900,India
11605,MELODY,06-03-1900,India
11606,LINDA,23-01-1900,India
11607,IVAN,24-01-1900,India
11608,LARRY,25-02-1900,India
11609,GEOFFREY,28-03-1900,India
11610,EDGAR,02-02-1900,India
11611,HEIDI,14-02-1900,India
11612,MELODY,22-01-1900,India
11613,CLINTON,23-01-1900,India
11614,CESAR,24-01-1900,India
11615,EUGENE,13-02-1900,India
11616,BLAKE,24-02-1900,India
11617,ERNEST,06-03-1900,India
11618,KEITH,25-02-1900,India
11619,MEREDITH,17-03-1900,India
11620,KATRINA,23-01-1900,India
11621,DWAYNE,17-03-1900,India
11622,CASEY,28-03-1900,India
11623,SEAN,14-02-1900,India
11624,BRIAN,06-03-1900,India
11625,SIERRA,06-03-1900,India
11626,MEGAN,17-03-1900,India
11627,LEAH,28-03-1900,India
11628,GABRIEL,14-02-1900,India
11629,ANGELA,06-03-1900,India
11630,RYAN,06-03-1900,India
11631,ZACHARY,23-01-1900,India
11633,DESTINY,24-01-1900,India
11634,DALTON,25-02-1900,India
11635,MARIAH,28-03-1900,India
11636,ISAIAH,02-02-1900,India
11637,HALEY,14-02-1900,India
11638,ANTONIO,22-01-1900,India
11639,THOMAS,23-01-1900,India
11640,SAMUEL,24-01-1900,India
11641,DARRELL,13-02-1900,India
11642,KIMBERLY,24-02-1900,India
11643,MORGAN,06-03-1900,India
11644,ANTONIO,25-02-1900,India
11645,ANGELICA,17-03-1900,India
11646,CHLOE,23-01-1900,India
11647,JAMES,17-03-1900,India
11648,MORGAN,28-03-1900,India
11649,NAOMI,14-02-1900,India
11650,CHARLES,06-03-1900,India
11651,GABRIELLA,06-03-1900,India
11652,ANNA,17-03-1900,India
11653,RANDY,28-03-1900,India
11654,KEVIN,14-02-1900,India
11655,IAN,06-03-1900,India
11656,CALEB,06-03-1900,India
11657,PATRICIA,23-01-1900,India
11658,SAMUEL,24-01-1900,India
11659,SYDNEY,25-02-1900,India
11660,ARIANA,28-03-1900,India
11661,TAMARA,02-02-1900,India
11662,KATELYN,14-02-1900,India
11663,MEGAN,22-01-1900,India
11664,ROBERT,23-01-1900,India
11665,MIGUEL,24-01-1900,India
11666,MIRANDA,13-02-1900,India
11667,JEREMIAH,24-02-1900,India
11668,ETHAN,06-03-1900,India
11669,SETH,25-02-1900,India
11670,ALYSSA,17-03-1900,Japan
11671,JANET,23-01-1900,Japan
11672,ANGEL,17-03-1900,Japan
11673,BLAKE,28-03-1900,Japan
11674,JADA,14-02-1900,Japan
11675,ISABELLA,06-03-1900,Japan
11676,JACQUELINE,06-03-1900,Japan
11677,JESSICA,17-03-1900,Japan
11678,CHAD,28-03-1900,Japan
11679,SUSAN,14-02-1900,Japan
11680,MORGAN,06-03-1900,Japan
11681,DEVIN,06-03-1900,Japan
11682,ALAN,23-01-1900,Japan
11683,CHARLES,24-01-1900,Japan
11684,JOHNNY,25-02-1900,Japan
11685,DALTON,28-03-1900,Japan
11687,KAYLEE,02-02-1900,Japan
11688,ABIGAIL,14-02-1900,Japan
11689,KAITLYN,22-01-1900,Japan
11690,GREG,23-01-1900,Japan
11691,DEVIN,24-01-1900,Japan
11692,JOSE,13-02-1900,Japan
11693,CODY,24-02-1900,Japan
11694,VICTORIA,06-03-1900,Japan
11695,IAN,25-02-1900,Japan
11696,CAROLINE,17-03-1900,Japan
11697,KAITLYN,23-01-1900,Japan
11698,CALEB,17-03-1900,Japan
11699,HAILEY,28-03-1900,Japan
11700,JONATHON,14-02-1900,Japan
11701,LOGAN,06-03-1900,Japan
11702,MACKENZIE,06-03-1900,Korea
11703,EDUARDO,17-03-1900,Korea
11705,JACKSON,28-03-1900,Korea
11706,CHASE,14-02-1900,Korea
11707,XAVIER,06-03-1900,Korea
11708,DAVID,06-03-1900,Korea
11709,JENNY,23-01-1900,Korea
11710,KAYLEE,24-01-1900,Korea
11711,BROOKE,25-02-1900,Korea
11712,BLAKE,28-03-1900,Korea
11713,NATALIE,02-02-1900,Korea
11714,ELIZABETH,14-02-1900,Korea
11715,HAILEY,22-01-1900,Korea
11716,ZOE,23-01-1900,Korea
11717,DANIEL,24-01-1900,Korea
11718,SHELBY,13-02-1900,Korea
11719,KYLE,24-02-1900,Korea
11720,ALEXANDRIA,06-03-1900,Korea
11721,CHLOE,25-02-1900,Korea
11722,EVAN,17-03-1900,Korea
11723,MARCUS,23-01-1900,Korea
11724,SARAH,17-03-1900,Korea
11725,BLAKE,28-03-1900,Korea
11726,MORGAN,14-02-1900,Korea
11727,JENNIFER,06-03-1900,Korea
11728,JULIAN,06-03-1900,Korea
11729,LUKE,17-03-1900,Korea
11730,JASON,28-03-1900,Korea
11731,JOSE,14-02-1900,Korea
11732,MICAH,06-03-1900,Korea
11733,BENJAMIN,06-03-1900,Korea
11734,LOGAN,23-01-1900,Korea
11735,CALEB,24-01-1900,Korea
11736,EMMA,25-02-1900,Korea
11737,TANYA,28-03-1900,Korea
11738,ERICK,02-02-1900,Korea
11739,KRISTI,14-02-1900,Korea
11740,OMAR,22-01-1900,Korea
11741,SYDNEY,23-01-1900,Korea
11742,SEBASTIAN,24-01-1900,Korea
11743,MEGAN,13-02-1900,Korea
